      1 Abiotrophia defectiva
      1 Actinobacteria bacterium
      1 Agrobacterium tumefaciens
      1 Angustibacter sp.
      1 Bacillus sp. RM117
      1 Bacillus subtilis subsp. stercoris
      1 bacterium REGD9
      1 Bacteroides xylanolyticus
      1 [Brevibacterium] frigoritolerans
      1 Corynebacterium mucifaciens
      1 Lactococcus lactis subsp. cremoris
      1 Micrococcus sp.
      1 Neisseria subflava
      1 Nocardiopsis gilva YIM 90087;Nocardiopsis sp. M5S15
      1 Pantoea ananatis
      1 Pantoea eucalypti
      1 Prevotella nanceiensis
      1 Prevotella nigrescens
      1 Prevotella sp. 1alac4_x1
      1 Prevotella sp. oral taxon 303
      1 Prevotella sp. oral taxon 474
      1 Pseudomonas sp. N3
      1 Pseudonocardia carboxydivorans
      1 Pseudopropionibacterium sp. Marseille-P6184
      1 Pseudoxanthomonas japonensis
      1 Rhizobium sp.
      1 Sphingomonas sp.
      1 Staphylococcus saccharolyticus
      1 Staphylococcus sp.
      1 Stenotrophomonas maltophilia
      1 Stomatobaculum longum
      1 Streptococcus anginosus
      1 Streptococcus genomosp. C8
      1 Streptococcus sp. F9
      1 Streptococcus sp. Marseille-P7376
      1 Streptococcus sp. oral taxon C14
      1 Streptococcus sp. oral taxon F10
      1 Streptococcus sp. VBH1
      1 TM7 phylum sp. oral taxon 957
      2 Bergeyella sp. oral taxon 322
      2 Brevundimonas sp.
      2 Chryseobacterium sp.
      2 Collinsella intestinalis
      2 Corynebacterium matruchotii
      2 Corynebacterium sp.
      2 Gemella morbillorum
      2 Geobacillus kaustophilus
      2 Granulicatella elegans
      2 Micrococcus luteus
      2 Mitsuaria chitosanitabida
      2 Neisseria elongata
      2 Pantoea sp.
      2 Parnassia trinervis
      2 Petrocodon jingxiensis
      2 Prevotella sp. oral taxon 298
      2 Pseudomonas sp. DB48
      2 Pyropia endiviifolia
      2 Selenomonas noxia
      2 Sphingobacterium sp.
      2 Sphingobium abikonense
      2 Streptococcus genomosp. C7
      2 uncultured Prevotella sp.
      2 Veillonella denticariosi
      3 Bacillus sp. (in: Bacteria)
      3 Escherichia coli
      3 [Eubacterium] brachy
      3 Fusobacterium nucleatum subsp. polymorphum
      3 Fusobacterium sp.
      3 Gemella parahaemolysans
      3 Neisseria perflava
      3 Peptoniphilus sp. 1804121828
      3 Streptococcus sp. M334;Streptococcus sp. C206;Streptococcus sp. C650;Streptococcus sp. M169;Streptococcus sp. M330;Streptococcus sp. M335;Streptococcus sp. M443
      3 TM7 bacterium human oral taxon HOT-870
      3 Transformation vector pMEK19
      3 uncultured organism
      4 Aggregatibacter aphrophilus
      4 bacterium NLAE-zl-H489
      4 Bergeyella cardium
      4 Chryseobacterium rhizoplanae
      4 Duganella sacchari
      4 Kingella oralis
      4 Lactobacillus paraplantarum
      4 Streptococcus sanguinis
      4 Streptococcus sp. ChDC B586
      4 Streptococcus sp. oral taxon 074
      4 Veillonella sp. OK3
      5 Candidatus Saccharimonas sp.
      5 Haemophilus sp.
      5 Lachnoanaerobaculum umeaense
      5 Methylobacterium sp. WL1
      5 Pseudomonas poae
      5 Pseudomonas sp.
      5 Undibacterium oligocarboniphilum
      5 Veillonella sp. oral taxon 158
      6 Serratia marcescens
      6 Streptococcus sp. HGH0178
      6 Streptococcus sp. oral taxon C08
      6 uncultured Micrococcus sp.
