uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:1580:1000,MF439394.1,97.987,149,3,0,1,149,1,149,1.87e-65,259
Staphylococcus auricularis,FS10000603:2:BPC29607-1927:1:1101:5140:1000,MN252027.1,100.000,151,0,0,1,151,292,442,1.46e-71,279
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:7980:1000,MK335904.1,98.013,151,3,0,1,151,9,159,1.47e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:9480:1000,MK789922.1,98.667,150,2,0,1,150,327,476,1.13e-67,267
uncultured Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:7040:1010,MN383050.1,97.386,153,1,1,1,150,256,408,6.78e-65,257
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:9450:1010,MK789922.1,98.667,150,2,0,1,150,327,476,1.14e-67,267
Corynebacterium sp. 'ARUP UnID 248',FS10000603:2:BPC29607-1927:1:1101:10000:1010,JQ259444.1,98.684,152,1,1,1,151,311,462,3.16e-68,268
Mycoplasma wenyonii,FS10000603:2:BPC29607-1927:1:1101:11360:1020,MK335904.1,98.013,151,3,0,1,151,9,159,1.47e-66,263
bacterium,FS10000603:2:BPC29607-1927:1:1101:2470:1030,MH151223.1,98.000,150,3,0,1,150,311,460,5.24e-66,261
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:4720:1030,CP038808.1,98.658,149,2,0,1,149,15495,15643,4.02e-67,265
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:4720:1030,CP038808.1,98.658,149,2,0,1,149,1696836,1696688,4.02e-67,265
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:4720:1030,CP038808.1,98.658,149,2,0,1,149,1794386,1794238,4.02e-67,265
Streptococcus pneumoniae,FS10000603:2:BPC29607-1927:1:1101:4720:1030,CP038808.1,98.658,149,2,0,1,149,1856311,1856163,4.02e-67,265
Chryseobacterium geocarposphaerae,FS10000603:2:BPC29607-1927:1:1101:5540:1030,MK519206.1,98.675,151,2,0,1,151,272,422,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5860:1030,MF439394.1,99.329,149,1,0,1,149,1,149,8.63e-69,270
Corynebacterium accolens,FS10000603:2:BPC29607-1927:1:1101:7400:1030,MK465378.1,98.675,151,2,0,1,151,289,439,3.16e-68,268
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:8610:1030,MN383091.1,99.333,150,1,0,1,150,331,480,2.42e-69,272
Bacillus mobilis,FS10000603:2:BPC29607-1927:1:1101:11250:1030,MN206783.1,99.329,149,1,0,1,149,308,456,8.63e-69,270
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:12500:1030,MF439394.1,98.658,149,2,0,1,149,1,149,4.02e-67,265
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:12820:1030,LR594987.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:12940:1030,MF439394.1,100.000,149,0,0,1,149,1,149,1.85e-70,276
Roseomonas sp.,FS10000603:2:BPC29607-1927:1:1101:3320:1040,MK421542.2,99.338,151,1,0,1,151,302,452,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:4850:1040,MF438514.1,100.000,149,0,0,1,149,1,149,1.85e-70,276
Rhizobium sp.,FS10000603:2:BPC29607-1927:1:1101:6420:1040,MH298441.1,98.675,151,2,0,1,151,269,419,3.16e-68,268
Lactobacillus acidophilus,FS10000603:2:BPC29607-1927:1:1101:7840:1040,MN368422.1,98.675,151,2,0,1,151,303,453,3.16e-68,268
Prevotellaceae bacterium Marseille-P2826,FS10000603:2:BPC29607-1927:1:1101:10580:1040,LT576392.1,99.338,151,1,0,1,151,339,489,6.79e-70,274
uncultured Clostridia bacterium,FS10000603:2:BPC29607-1927:1:1101:13180:1040,LC473919.1,99.333,150,1,0,1,150,324,473,2.42e-69,272
Brucella sp.,FS10000603:2:BPC29607-1927:1:1101:3340:1050,MG846040.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
Camellia sinensis var. assamica,FS10000603:2:BPC29607-1927:1:1101:8950:1050,MK574877.1,98.658,149,2,0,1,149,300302,300450,4.02e-67,265
Camellia sinensis var. assamica,FS10000603:2:BPC29607-1927:1:1101:8950:1050,MK574877.1,97.826,46,1,0,16,61,371122,371167,1.56e-11,80.5
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:1840:1060,LR594987.1,100.000,150,0,0,1,150,1,150,5.20e-71,278
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:3580:1060,LR594951.1,99.338,151,1,0,1,151,1,151,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5130:1060,MF439394.1,98.658,149,2,0,1,149,1,149,4.02e-67,265
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5190:1060,LR595680.1,99.329,149,1,0,1,149,1,149,8.63e-69,270
uncultured Cutibacterium sp.,FS10000603:2:BPC29607-1927:1:1101:7230:1060,MN383091.1,98.667,150,2,0,1,150,331,480,1.13e-67,267
Pseudomonas protegens,FS10000603:2:BPC29607-1927:1:1101:8540:1060,CP024025.1,99.338,151,1,0,1,151,346212,346362,6.79e-70,274
Pseudomonas protegens,FS10000603:2:BPC29607-1927:1:1101:8540:1060,CP024025.1,99.338,151,1,0,1,151,1077759,1077909,6.79e-70,274
