uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:6230:1010,MN081983.1,99.338,151,0,1,1,150,249,399,2.42e-69,272
Deinococcus sp. 37(2008),FS10000603:2:BPC29607-1927:1:1101:6340:1010,EU710541.1,100.000,150,0,0,1,150,216,365,5.20e-71,278
uncultured Staphylococcus sp.,FS10000603:2:BPC29607-1927:1:1101:12470:1010,MN383050.1,98.013,151,2,1,1,150,256,406,5.24e-66,261
Acetobacter pasteurianus,FS10000603:2:BPC29607-1927:1:1101:14010:1010,KX831391.1,100.000,150,0,0,1,150,311,460,5.20e-71,278
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:4670:1020,LR595680.1,97.987,149,3,0,1,149,1,149,1.87e-65,259
Rothia sp.,FS10000603:2:BPC29607-1927:1:1101:3310:1030,MN093748.1,98.667,150,2,0,1,150,132,281,1.13e-67,267
Staphylococcus saccharolyticus,FS10000603:2:BPC29607-1927:1:1101:6590:1030,MF678959.1,99.333,150,1,0,1,150,293,442,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:8290:1030,MK789936.1,99.333,150,1,0,1,150,315,464,2.42e-69,272
Cardiobacterium valvarum,FS10000603:2:BPC29607-1927:1:1101:13410:1030,LC383426.1,96.000,150,6,0,1,150,265,414,5.28e-61,244
uncultured Sphingomonas sp.,FS10000603:2:BPC29607-1927:1:1101:13460:1030,MN383144.1,99.338,151,1,0,1,151,93,243,6.79e-70,274
Serratia marcescens,FS10000603:2:BPC29607-1927:1:1101:10340:1040,MN368296.1,99.338,151,1,0,1,151,261,411,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13980:1040,LR594953.1,100.000,150,0,0,1,150,1,150,5.20e-71,278
Lactobacillus iners,FS10000603:2:BPC29607-1927:1:1101:14900:1040,LC483559.1,98.000,150,3,0,1,150,350,499,5.24e-66,261
uncultured Mycoplasma sp.,FS10000603:2:BPC29607-1927:1:1101:2700:1050,MK588844.1,99.338,151,1,0,1,151,11,161,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:5550:1050,MF438684.1,98.013,151,3,0,1,151,1,151,1.47e-66,263
Acetobacteraceae bacterium PAMC 26568;Acetobacteraceae bacterium PAMC 26569,FS10000603:2:BPC29607-1927:1:1101:6250:1050,KJ606803.1,99.338,151,1,0,1,151,266,416,6.79e-70,274
Malania oleifera,FS10000603:2:BPC29607-1927:1:1101:8570:1050,MK764537.1,99.329,149,1,0,1,149,104210,104358,8.63e-69,270
